author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
real_estate_agent,Кировский,3.0,5.0,3.8000000000000003,15.200000000000001,1700000.0,1.0, Зорге,19.0,Площадь Маркса,1975
developer,Октябрьский,11.0,17.0,5.0,5.5,4700000.0,1.0,Выборная ,19.9,Речной вокзал,2026
real_estate_agent,Советский,4.0,5.0,3.6200000000000006,14.480000000000002,1850000.0,1.0, Российская,18.1,Студенческая,1970
real_estate_agent,Первомайский,7.0,17.0,3.0,11.5,2300000.0,1.0, Одоевского,19.5,Спортивная,2011
developer,Заельцовский,3.0,29.0,6.6,11.2,7341176.0,1.0,Сухарная ,25.2,Площадь Гарина-Михайловского,2026
real_estate_agent,Кировский,2.0,10.0,4.4,34.1,3400000.0,1.0, Виктора Шевелева,38.5,Студенческая,2017
real_estate_agent,Первомайский,4.0,17.0,3.0,16.2,2100000.0,1.0, Твардовского,19.2,Речной вокзал,2014
developer,Октябрьский,6.0,8.0,5.0,9.9,5830000.0,1.0,Выборная ,24.2,Речной вокзал,2026
real_estate_agent,Советский,6.0,9.0,5.0,18.9,4500000.0,1.0, 2-я Миргородская,23.9,Студенческая,2014
real_estate_agent,Первомайский,4.0,17.0,3.7,9.4,2200000.0,1.0, Твардовского,20.2,Речной вокзал,2013
developer,Железнодорожный,11.0,16.0,5.1,14.3,6850000.0,1.0,Беринг жилой квартал,28.17,Площадь Гарина-Михайловского,2028
real_estate_agent,Октябрьский,6.0,10.0,10.0,22.5,3450000.0,1.0, Плющихинская,32.5,Золотая Нива,2024
real_estate_agent,Заельцовский,3.0,6.0,3.7200000000000006,14.880000000000003,4250000.0,1.0, Аэропорт,18.6,Заельцовская,2024
developer,Дзержинский,8.0,29.0,5.48,21.92,5800000.0,1.0,Закаменский мкр,27.4,Березовая Роща,2025
real_estate_agent,Кировский,3.0,17.0,5.0,14.0,3500000.0,1.0,Бронная ,26.0,Площадь Маркса,2025
real_estate_agent,Первомайский,15.0,19.0,6.100000000000001,12.0,2150000.0,1.0, Твардовского,18.1,Спортивная,2013
developer,Железнодорожный,10.0,24.0,5.1,14.1,6275000.0,1.0,Беринг жилой квартал,26.06,Площадь Гарина-Михайловского,2028
real_estate_agent,Кировский,1.0,3.0,4.0,18.0,2550000.0,1.0,Рубежная ,27.4,Студенческая,2017
real_estate_agent,Кировский,1.0,17.0,5.0,13.0,2350000.0,1.0, Виктора Уса,30.8,Площадь Маркса,2014
developer,Ленинский,7.0,14.0,11.490000000000002,16.7,6852000.0,1.0, Забалуева,28.19,Студенческая,2026
real_estate_agent,Ленинский,7.0,18.0,1.8,10.4,2800000.0,1.0,Спортивная ,18.2,Площадь Маркса,2024
real_estate_agent,Ленинский,6.0,16.0,5.0600000000000005,20.240000000000002,3100000.0,1.0, Невельского,25.3,Площадь Маркса,2024
developer,Железнодорожный,13.0,24.0,5.1,14.9,6600000.0,1.0,Беринг жилой квартал,31.67,Площадь Гарина-Михайловского,2028
real_estate_agent,Дзержинский,11.0,16.0,7.0,20.0,4250000.0,1.0, Есенина,30.7,Золотая Нива,2015
real_estate_agent,Кировский,12.0,18.0,5.5200000000000005,22.080000000000002,2850000.0,1.0, Виктора Уса,27.6,Площадь Маркса,2013
developer,Дзержинский,8.0,9.0,10.0,11.4,8890000.0,1.0,проспект Дзержинского,30.55,Березовая Роща,2028
real_estate_agent,Кировский,1.0,3.0,4.0,14.5,2400000.0,1.0, Николая Грицюка,23.5,Площадь Маркса,2017
real_estate_agent,Первомайский,2.0,17.0,8.600000000000001,10.5,2000000.0,1.0,Березовое жилмассив,19.1,Речной вокзал,2013
