floor,floors_count,price,rooms_count,total_meters,year_of_construction
10,17,3550000,1.0,23.3,2010
11,18,4600000,1.0,27.0,2014
3,14,6300000,1.0,46.5,2027
18,25,5390000,1.0,34.0,2025
1,18,6150900,1.0,30.6,2026
9,25,3350000,1.0,27.0,2025
2,24,4250000,1.0,27.6,2028
1,3,3480000,1.0,37.8,2007
2,17,3500000,1.0,24.6,2007
16,25,7800000,1.0,30.3,2024
6,16,3400000,1.0,20.2,2024
5,17,4050000,1.0,29.3,2025
9,24,4450000,1.0,27.2,2028
6,24,4800000,1.0,21.36,2007
4,6,5360000,1.0,20.67,2028
6,10,3100000,1.0,39.0,2024
13,25,4707630,1.0,27.53,2026
4,17,5817800,1.0,30.62,2026
11,18,6296350,1.0,29.1,2026
13,25,5096000,1.0,24.8,2016
1,3,2650000,1.0,28.7,2007
23,25,6800000,1.0,25.2,2022
5,26,8510000,1.0,46.57,2026
2,4,2400000,1.0,11.7,2007
1,10,4990000,1.0,29.0,2025
9,10,3550000,1.0,32.4,2012
21,23,4602420,1.0,28.41,2025
3,10,3000000,1.0,34.0,2024
1,18,6796300,1.0,34.1,2026
8,8,5300000,1.0,22.2,2023
21,25,7600000,1.0,29.2,2022
10,23,6820000,1.0,32.88,2028
2,3,4300000,1.0,34.1,1933
6,11,4500000,1.0,25.3,2025
9,23,7090000,1.0,35.74,2028
9,10,2600000,1.0,34.0,2007
18,25,8200000,1.0,29.1,2024
1,10,3000000,1.0,28.8,2007
29,30,9960000,1.0,45.1,2026
5,11,3200000,1.0,22.0,2021
2,14,5900000,1.0,24.39,2028
18,27,4300000,1.0,30.1,2015
2,27,4600000,1.0,28.11,2026
16,18,6352900,1.0,27.7,2026
8,12,4000000,1.0,32.0,2007
1,14,3887100,1.0,21.4,2026
5,10,3260000,1.0,33.0,2011
15,17,5649600,1.0,26.75,2026
3,17,3873044,1.0,26.79,2025
9,23,5650000,1.0,25.9,2026
4,4,2700000,1.0,21.0,2016
2,6,5310000,1.0,21.55,2028
10,18,4250000,1.0,24.0,2012
12,21,3881940,1.0,24.8,2027
9,22,4000000,1.0,27.9,2007
4,10,4200000,1.0,30.0,2013
22,25,7000000,1.0,25.9,2022
4,10,3300000,1.0,20.0,2011
8,25,4992780,1.0,28.86,2026
5,5,2350000,1.0,15.0,2007
14,14,4550000,1.0,25.2,2027
7,17,3500000,1.0,25.4,2009
16,17,3500000,1.0,19.5,2023
19,25,9000000,1.0,34.0,2024
4,10,4000000,1.0,25.0,2007
2,3,2600000,1.0,23.6,2007
17,17,4750000,1.0,29.2,2026
1,3,2390009,1.0,34.2,2017
4,12,3170000,1.0,25.7,2007
2,7,4149700,1.0,24.5,2026
4,12,5490000,1.0,28.0,2007
2,3,3080000,1.0,33.6,2016
3,23,4618620,1.0,28.51,2025
7,12,4000000,1.0,24.5,2007
3,12,5000000,1.0,29.0,2026
3,10,4193600,1.0,23.5,2026
9,14,3150000,1.0,22.4,2017
2,17,2300000,1.0,20.0,2014
3,14,4100000,1.0,20.4,2027
13,17,2300000,1.0,19.2,2007
1,3,2949000,1.0,26.0,2007
11,25,8600000,1.0,41.7,2028
14,18,3000000,1.0,20.4,2023
3,18,5990000,1.0,25.57,2028
1,9,9990000,1.0,42.28,2026
3,22,4600000,1.0,30.6,2020
4,9,4400000,1.0,28.0,2007
4,10,4154200,1.0,23.2,2026
2,18,3850000,1.0,26.7,2015
4,17,3300000,1.0,24.1,2023
3,14,4990000,1.0,26.9,2027
16,17,3410000,1.0,23.1,2010
6,16,4100000,1.0,21.3,2023
8,25,7200000,1.0,37.4,2025
5,27,5402000,1.0,27.4,2027
6,8,3460000,1.0,27.0,2013
13,19,3000000,1.0,27.6,2014
12,24,6650000,1.0,34.69,2027
5,5,3840000,1.0,25.0,2007
4,17,4419510,1.0,28.19,2026
6,14,5350000,1.0,29.7,2027
10,17,2999000,1.0,27.5,2023
2,12,3577800,1.0,26.7,2024
19,25,5664100,1.0,24.9,2026
8,16,4650000,1.0,24.1,2012
10,10,3400000,1.0,32.4,2010
12,13,5700000,1.0,24.03,2026
17,17,2250000,1.0,19.3,2015
8,10,3480000,1.0,38.5,2019
6,14,4550000,1.0,25.5,2027
4,17,4900000,1.0,26.3,2020
15,21,4833588,1.0,32.0,2027
2,25,6711900,1.0,41.1,2026
13,21,5600000,1.0,23.0,2013
3,4,5500000,1.0,43.0,2014
6,25,6290000,1.0,33.5,2027
2,17,2680000,1.0,20.0,2007
21,25,7200000,1.0,27.7,2022
5,20,4200000,1.0,24.0,2024
20,25,4850000,1.0,28.8,2007
15,24,5480000,1.0,28.43,2027
7,17,3300000,1.0,30.7,2007
7,10,3000000,1.0,39.0,2024
6,14,4167000,1.0,21.85,2026
15,17,3800000,1.0,28.1,2007
12,24,4600000,1.0,18.0,2018
9,24,5510000,1.0,28.67,2027
12,26,4700000,1.0,23.4,2007
4,25,4700000,1.0,22.7,2024
3,17,2950000,1.0,23.4,2014
6,9,3500000,1.0,32.4,2007
14,18,2950000,1.0,22.7,2018
15,17,5521880,1.0,25.9,2026
17,17,3900000,1.0,27.4,2012
15,26,2950000,1.0,27.8,2007
23,25,4910000,1.0,23.2,2026
9,14,3850000,1.0,25.8,2017
17,17,5634834,1.0,25.2,2026
12,17,3700000,1.0,23.8,2019
12,18,3000000,1.0,25.0,2024
5,24,6810000,1.0,35.51,2027
14,15,4550000,1.0,28.4,2007
5,15,4790000,1.0,22.18,2026
3,19,5500000,1.0,26.2,2007
5,18,5500000,1.0,25.0,2012
17,17,6529292,1.0,29.92,2026
12,13,3800000,1.0,25.7,2020
6,10,3080000,1.0,39.35,2024
4,24,7494000,1.0,32.13,2027
1,17,4200000,1.0,29.2,2027
15,19,3800000,1.0,21.2,2013
8,16,4200000,1.0,22.7,2007
1,10,4899900,1.0,27.4,2026
14,23,4300000,1.0,26.1,2024
16,16,2299000,1.0,19.0,2013
1,9,6661000,1.0,35.86,2027
3,3,4350000,1.0,33.0,2022
13,17,4700000,1.0,33.9,2018
5,10,4666700,1.0,25.72,2026
2,10,3350000,1.0,39.0,2023
8,16,3900000,1.0,29.2,2023
15,21,4676958,1.0,30.5,2027
2,18,2850000,1.0,24.0,2016
12,18,3350000,1.0,25.0,2021
18,25,5800000,1.0,26.69,2023
14,25,3950000,1.0,27.3,2007
4,20,5400000,1.0,44.7,2007
19,25,6803000,1.0,25.3,2028
14,17,3500000,1.0,21.6,2013
2,30,7000000,1.0,30.2,2026
8,10,5155500,1.0,28.18,2026
5,26,3600000,1.0,27.3,2021
9,16,3950000,1.0,22.4,2007
11,17,4700000,1.0,19.9,2026
8,8,4200000,1.0,27.6,2007
1,23,5900000,1.0,28.2,2028
15,18,3500000,1.0,26.0,2023
2,24,6580000,1.0,29.9,2028
9,17,4650000,1.0,27.0,2007
3,9,6230000,1.0,30.32,2027
12,22,5000000,1.0,36.0,2015
20,25,5160000,1.0,25.84,2026
9,18,3300000,1.0,25.0,2024
3,24,8171000,1.0,34.84,2027
3,10,2870000,1.0,33.0,2007
3,12,5100000,1.0,29.0,2026
1,9,6800000,1.0,32.21,2027
2,17,5049000,1.0,23.5,2024
18,25,5830000,1.0,32.41,2026
1,20,5540000,1.0,37.5,2025
3,12,4610000,1.0,20.7,2028
5,17,2370000,1.0,20.0,2007
13,24,7540000,1.0,25.16,2026
1,3,2400000,1.0,19.7,2017
12,19,4000000,1.0,33.7,2021
12,13,5690000,1.0,22.79,2026
7,17,5650000,1.0,21.1,2024
7,27,5650000,1.0,21.3,2025
13,17,5750000,1.0,25.1,2024
15,18,5750000,1.0,37.2,2020
3,27,5780000,1.0,26.88,2022
7,17,5790000,1.0,28.2,2018
6,18,5800000,1.0,30.3,2007
13,13,5800000,1.0,21.5,2007
