author_type,district,finish_type,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Заельцовский,"Предчистовая, чистовая",3,29,"6,6 м²","11,2 м²",7341176,1,Сухарная ,25.2,Площадь Гарина-Михайловского,2026
real_estate_agent,Кировский,-1,2,10,"4,4 м²",-1,3400000,1, Виктора Шевелева,38.5,Студенческая,2017
real_estate_agent,Первомайский,-1,4,17,3 м²,-1,2100000,1, Твардовского,19.2,Речной вокзал,2014
developer,Октябрьский,Предчистовая,6,8,5 м²,"9,9 м²",5830000,1,,24.2,Речной вокзал,2026
real_estate_agent,Советский,-1,6,9,-1,"18,9 м²",4500000,1, 2-я Миргородская,23.9,,2014
real_estate_agent,Первомайский,-1,4,17,"3,7 м²","9,4 м²",2200000,1, Твардовского,20.2,Речной вокзал,-1
developer,Железнодорожный,Предчистовая,11,16,"5,1 м²","14,3 м²",6850000,1,Беринг жилой квартал,28.17,Площадь Гарина-Михайловского,2028
real_estate_agent,Октябрьский,-1,6,10,10 м²,-1,3450000,1, Плющихинская,32.5,Золотая Нива,2024
real_estate_agent,Заельцовский,Предчистовая,3,6,-1,-1,4250000,1, Аэропорт,18.6,Заельцовская,2024
developer,Дзержинский,Предчистовая,8,29,-1,-1,5800000,1,Закаменский мкр,27.4,Березовая Роща,2025
real_estate_agent,Кировский,-1,3,17,5 м²,14 м²,3500000,1,Бронная ,26.0,Площадь Маркса,2025
real_estate_agent,Первомайский,-1,15,19,-1,12 м²,2150000,1, Твардовского,18.1,Спортивная,2013
developer,Железнодорожный,Предчистовая,10,24,"5,1 м²","14,1 м²",6275000,1,Беринг жилой квартал,26.06,Площадь Гарина-Михайловского,2028
real_estate_agent,Кировский,-1,1,3,4 м²,18 м²,2550000,1,Рубежная ,27.4,Студенческая,-1
real_estate_agent,Кировский,-1,1,17,5 м²,13 м²,2350000,1, Виктора Уса,30.8,Площадь Маркса,2014
developer,Ленинский,Предчистовая,7,14,-1,"16,7 м²",6852000,1,,28.19,Студенческая,2026
real_estate_agent,Ленинский,-1,7,18,"1,8 м²","10,4 м²",2800000,1,Спортивная ,18.2,Площадь Маркса,2024
real_estate_agent,Ленинский,-1,6,16,-1,-1,3100000,1, Невельского,25.3,Площадь Маркса,2024
developer,Железнодорожный,Предчистовая,13,24,"5,1 м²","14,9 м²",6600000,1,Беринг жилой квартал,31.67,Площадь Гарина-Михайловского,2028
real_estate_agent,Дзержинский,-1,11,16,7 м²,20 м²,4250000,1, Есенина,30.7,Золотая Нива,2015
real_estate_agent,Кировский,-1,12,18,-1,-1,2850000,1, Виктора Уса,27.6,Площадь Маркса,2013
developer,Дзержинский,Предчистовая,8,9,10 м²,"11,4 м²",8890000,1,,30.55,Березовая Роща,2028
real_estate_agent,Кировский,-1,1,3,4 м²,"14,5 м²",2400000,1, Николая Грицюка,23.5,Площадь Маркса,-1
real_estate_agent,Первомайский,-1,2,17,-1,"10,5 м²",2000000,1,Березовое жилмассив,19.1,Речной вокзал,-1
developer,Заельцовский,"Предчистовая, чистовая",4,29,"5,6 м²","16,6 м²",11435294,1,Сухарная ,34.9,Площадь Гарина-Михайловского,2026
real_estate_agent,Первомайский,-1,1,17,-1,9 м²,3150000,1, Одоевского,20.2,Речной вокзал,-1
real_estate_agent,Октябрьский,Без отделки,5,10,-1,-1,2800000,1, В. Высоцкого,39.02,Золотая Нива,2025
developer,Октябрьский,"Предчистовая, чистовая",9,9,"7,4 м²","15,5 м²",9305882,1,Тополевая ,32.23,Березовая Роща,2027
real_estate_agent,Октябрьский,-1,3,10,-1,-1,3400000,1, Татьяны Снежиной,33.0,Золотая Нива,2011
real_estate_agent,Октябрьский,-1,6,10,"2,7 м²",26 м²,3550000,1, Виталия Потылицына,39.0,Золотая Нива,2017
developer,Ленинский,Предчистовая,12,14,-1,"16,1 м²",7303000,1,,28.8,Студенческая,2026
real_estate_agent,Ленинский,-1,5,17,17 м²,25 м²,4500000,1, Забалуева,47.0,Площадь Маркса,-1
real_estate_agent,Кировский,-1,16,18,6 м²,18 м²,3950000,1,Пригородная ,24.0,Площадь Маркса,2024
developer,Заельцовский,Предчистовая,14,24,3 м²,18 м²,7350000,1,,32.3,Заельцовская,2028
real_estate_agent,Октябрьский,Без отделки,17,29,4 м²,15 м²,4500000,1,Пролетарская ,28.97,Золотая Нива,2026
unknown,Центральный,Без отделки,3,29,3 м²,"17,1 м²",3990000,-1, Николая Островского,20.22,Гагаринская,2026
developer,Дзержинский,Предчистовая,2,25,-1,-1,6084753,1,,29.61,Березовая Роща,2027
real_estate_agent,Ленинский,-1,10,27,15 м²,20 м²,4600000,1,Волховская ,41.0,Площадь Маркса,2016
real_estate_agent,Кировский,-1,15,17,"6,6 м²","21,7 м²",4000000,1, Петухова,38.4,Площадь Маркса,-1
real_estate_agent,Ленинский,Предчистовая,8,15,"5,6 м²","13,1 м²",5390000,1, Костычева,26.7,Площадь Маркса,2027
real_estate_agent,Заельцовский,-1,6,18,4 м²,-1,4850000,1, Аэропорт,27.63,Заельцовская,-1
real_estate_agent,Октябрьский,-1,1,10,6 м²,"14,6 м²",4050000,1,2-я Обская ,25.6,Спортивная,2011
developer,Ленинский,Предчистовая,20,30,-1,"14,9 м²",6703000,1,,25.74,Студенческая,2026
real_estate_agent,Заельцовский,-1,7,10,10 м²,-1,4350000,-1,Сухарная ,23.0,Площадь Гарина-Михайловского,2021
real_estate_agent,Заельцовский,-1,17,23,10 м²,-1,4100000,-1,Светлановская ,25.37,Заельцовская,2025
developer,Ленинский,Предчистовая,8,15,5 м²,"12,7 м²",5350000,1, Костычева,26.0,Площадь Маркса,2027
real_estate_agent,Ленинский,Чистовая,2,15,-1,-1,7300000,1,,28.0,Студенческая,2026
real_estate_agent,Кировский,-1,2,10,10 м²,-1,4150000,1, Виктора Шевелева,40.0,Студенческая,-1
developer,Заельцовский,"Предчистовая, чистовая",22,29,"7,3 м²","13,1 м²",7941176,1,Сухарная ,27.47,Площадь Гарина-Михайловского,2026
real_estate_agent,Октябрьский,-1,12,25,6 м²,-1,7500000,1,Ипподромская ,30.48,Октябрьская,2024
real_estate_agent,Ленинский,-1,17,17,4 м²,17 м²,4300000,1, Немировича-Данченко,30.0,Площадь Маркса,2017
developer,Кировский,"Предчистовая, чистовая",18,26,"3,4 м²","14,6 м²",5270000,1, Аникина,27.27,Студенческая,2026
real_estate_agent,Кировский,-1,2,3,9 м²,-1,4700000,1, Серафимовича,36.0,Площадь Маркса,2013
developer,Кировский,"Предчистовая, чистовая",12,26,"3,4 м²","14,6 м²",5400000,1, Аникина,27.73,Студенческая,2026
real_estate_agent,Октябрьский,-1,6,10,"8,5 м²",45 м²,4500000,1, Плющихинская,58.5,Золотая Нива,2024
real_estate_agent,Октябрьский,-1,14,17,10 м²,-1,4900000,1,Закаменский мкр,21.1,Березовая Роща,2024
developer,Железнодорожный,Предчистовая,5,16,-1,42 м²,14670000,1, Прибрежная,83.1,Площадь Гарина-Михайловского,2025
homeowner,Дзержинский,-1,26,30,"3,6 м²","14,7 м²",6000000,1,Закаменский мкр,27.0,Березовая Роща,-1
developer,Дзержинский,Предчистовая,3,29,-1,-1,5500000,1,Закаменский мкр,27.5,Березовая Роща,2025
developer,Заельцовский,"Предчистовая, чистовая",16,29,"5,1 м²","18,6 м²",9117647,1,Сухарная ,29.98,Площадь Гарина-Михайловского,2026
homeowner,Калининский,-1,4,5,-1,-1,2359000,-1, Сухановская,17.6,Заельцовская,-1
developer,Заельцовский,Предчистовая,20,20,"7,8 м²",14 м²,9900000,1,,33.9,Заельцовская,2026
real_estate_agent,Октябрьский,-1,5,10,6 м²,20 м²,3650000,1, Татьяны Снежиной,36.7,Золотая Нива,-1
real_estate_agent,Первомайский,-1,2,17,5 м²,"8,4 м²",2400000,1, Твардовского,18.4,Спортивная,2013
developer,Центральный,Под ключ,11,29,2 м²,14 м²,5640930,-1, Николая Островского,20.97,Гагаринская,2026
realtor,Заельцовский,-1,13,21,5 м²,20 м²,6500000,1, Дуси Ковальчук,30.0,Заельцовская,2022
real_estate_agent,Ленинский,-1,6,10,5 м²,12 м²,2750000,1,Хилокская ,26.8,Площадь Маркса,-1
developer,Железнодорожный,Предчистовая,24,24,-1,"21,6 м²",8350000,1, Прибрежная,34.3,Площадь Гарина-Михайловского,2025
realtor,Заельцовский,-1,20,25,4 м²,15 м²,5200000,1,Светлановская ,26.9,Заельцовская,2023
real_estate_agent,Калининский,-1,2,3,5 м²,19 м²,2845000,-1, Богдана Хмельницкого,24.3,Заельцовская,1968
developer,Кировский,"Предчистовая, чистовая",13,26,"3,4 м²","14,6 м²",5370000,1, Аникина,27.73,Студенческая,2026
real_estate_agent,Железнодорожный,-1,22,25,4 м²,17 м²,4980000,-1,Железнодорожная ,23.7,Гагаринская,2019
realtor,Калининский,-1,4,17,3 м²,14 м²,3490000,1, Фадеева,23.0,Заельцовская,2015
real_estate_agent,Ленинский,Предчистовая,18,18,-1,-1,5540000,1, Костычева,25.16,Площадь Маркса,2026
real_estate_agent,Ленинский,-1,9,15,-1,-1,7900000,1,Горская ,27.64,Спортивная,-1
real_estate_agent,Кировский,-1,15,17,-1,-1,3790000,1, Петухова,36.8,Площадь Маркса,2025
developer,Кировский,"Предчистовая, чистовая",11,26,"3,4 м²","14,6 м²",6080000,1,,27.73,Студенческая,2028
real_estate_agent,Октябрьский,-1,4,20,"5,2 м²","10,2 м²",4850000,1,Вилюйская ,27.7,Речной вокзал,-1
real_estate_agent,Калининский,-1,13,16,5 м²,"8,6 м²",3800000,1, Фадеева,27.9,Заельцовская,-1
developer,Ленинский,Предчистовая,2,15,5 м²,"11,9 м²",5928700,1, Серафимовича,27.7,Площадь Маркса,2026
real_estate_agent,Заельцовский,-1,15,19,8 м²,11 м²,5550000,1, Вавилова,25.0,Заельцовская,2011
homeowner,Ленинский,-1,16,16,6 м²,18 м²,4500000,1,,25.8,Студенческая,2006
