accommodation_type,author,author_type,deal_type,district,floor,floors_count,house_number,location,price,residential_complex,rooms_count,street,total_meters,underground,url
flat,Елена Блинова,realtor,sale,Калининский,4,9,1,Новосибирск,5100000,Цивилизация,1, Василия Клевцова,39.4,Заельцовская,https://novosibirsk.cian.ru/sale/flat/322726628/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Татьяна Мазалова,realtor,sale,Ленинский,13,17,65,Новосибирск,5100000,,1,,34.3,Студенческая,https://novosibirsk.cian.ru/sale/flat/323085462/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Никита Васильев,realtor,sale,Калининский,15,17,66/4,Новосибирск,5100000,На Фадеева,1, Фадеева,59.3,Заельцовская,https://novosibirsk.cian.ru/sale/flat/316507666/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,10,15,24,Новосибирск,5150000,Апартаменты Apartville на Кошурникова,1, Кошурникова,28.99,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/326181537/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Калининский,15,17,21/1,Новосибирск,5150000,Мкрн. Родники,1, Краузе,41.3,Заельцовская,https://novosibirsk.cian.ru/sale/flat/324432349/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Калининский,8,10,3,Новосибирск,5150000,,1, Василия Клевцова,36.1,Заельцовская,https://novosibirsk.cian.ru/sale/flat/301203851/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Инвест-плюс,real_estate_agent,sale,Ленинский,4,11,14,Новосибирск,5150000,,1,Троллейная ,38.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326935911/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Инвест-плюс,real_estate_agent,sale,Кировский,2,17,80,Новосибирск,5150000,Тульский,1,Тульская ,49.68,Студенческая,https://novosibirsk.cian.ru/sale/flat/288006848/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,НСК-top,real_estate_agent,sale,Ленинский,4,20,1/1,Новосибирск,5150000,,1, Невельского,36.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/323530884/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Планета Недвижимости -подразделение ООО Лаки,real_estate_agent,sale,Ленинский,9,13,43,Новосибирск,5150000,VESNA,1, Ясный Берег,34.0,Октябрьская,https://novosibirsk.cian.ru/sale/flat/321488300/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Репутация Плюс,real_estate_agent,sale,Заельцовский,6,12,88/2,Новосибирск,5150000,Эволюция,1,Охотская ,30.6,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326681936/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Квартирный портал,real_estate_agent,sale,Первомайский,15,25,5,Новосибирск,5150000,Сокольники,1, Ошанина,39.9,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/321873727/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Хорошие люди,real_estate_agent,sale,Кировский,7,24,22,Новосибирск,5179500,Семейный квартал,1,Бронная ,42.7,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326303610/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,6,9,175/6,Новосибирск,5200000,,1,Большевистская ,35.2,Спортивная,https://novosibirsk.cian.ru/sale/flat/326575427/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,3,10,26,Новосибирск,5200000,,1, Ключ-Камышенское плато,33.0,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326053689/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,16,19,31,Новосибирск,5200000,Молодёжный,1, Михаила Кулагина,24.0,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/323922967/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Сфера,real_estate_agent,sale,Октябрьский,6,10,71,Новосибирск,5200000,,1,Воинская ,36.4,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/326742969/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,СФЕРА 54,real_estate_agent,sale,Заельцовский,3,12,268/2,Новосибирск,5200000,,1, Дуси Ковальчук,35.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326982354/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЛЕГКО,real_estate_agent,sale,Октябрьский,1,17,34,Новосибирск,5200000,Акация на Лежена,1, Адриена Лежена,38.4,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/322359781/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Альфа Дом,real_estate_agent,sale,Ленинский,1,10,55,Новосибирск,5230000,,1,,31.8,Студенческая,https://novosibirsk.cian.ru/sale/flat/323883372/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Планета на Станиславского,real_estate_agent,sale,Центральный,4,12,57,Новосибирск,5200000,,1, Фрунзе,37.3,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/304064699/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЕВРОДОМ,real_estate_agent,sale,Ленинский,2,10,25,Новосибирск,5200000,КрымSKY,1, Пархоменко,42.8,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/317744339/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Владис Центральное,real_estate_agent,sale,Кировский,7,22,74,Новосибирск,5200000,Тихий,1,Тульская ,35.6,Студенческая,https://novosibirsk.cian.ru/sale/flat/326718670/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Забота,real_estate_agent,sale,Дзержинский,9,11,25/1,Новосибирск,5200000,,1, Толбухина,32.2,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/326653444/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Квартирный портал,real_estate_agent,sale,Кировский,11,16,22,Новосибирск,5200000,Семейный квартал,1,Бронная ,40.2,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/325353691/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Ново-Николаевскъ,real_estate_agent,sale,Заельцовский,2,5,77,Новосибирск,5200000,,1, Тимирязева,31.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/323553347/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Ленинский,4,6,10,Новосибирск,5290000,Дивногорский,1, Надежды,51.2,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326584127/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,18,27,45,Новосибирск,5250000,,1, В. Высоцкого,40.2,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/326759349/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
