iter	Passed	Remaining
402	11967	344388
403	12001	344476
404	12034	344551
405	12069	344650
406	12103	344748
407	12137	344855
408	12172	344979
409	12207	345080
410	12240	345133
411	12273	345198
412	12320	345653
413	12354	345735
414	12387	345792
415	12420	345858
416	12453	345920
417	12487	345993
418	12522	346116
419	12555	346178
420	12590	346283
421	12625	346394
422	12660	346496
423	12694	346590
424	12729	346704
425	12763	346782
426	12797	346843
427	12832	346957
428	12870	347148
429	12904	347229
430	12941	347369
431	12975	347466
432	13010	347567
433	13044	347625
434	13079	347729
435	13114	347824
436	13148	347902
437	13185	348061
438	13221	348186
439	13257	348300
440	13294	348456
441	13330	348579
442	13365	348691
443	13400	348775
444	13433	348805
445	13467	348880
446	13502	348985
447	13537	349061
448	13572	349170
449	13606	349230
450	13641	349316
451	13675	349385
452	13709	349450
453	13742	349496
454	13776	349547
455	13808	349585
456	13843	349666
457	13879	349768
458	13913	349841
459	13947	349891
460	13981	349957
461	14015	350018
462	14050	350107
463	14083	350148
464	14117	350200
465	14151	350253
466	14184	350303
467	14217	350337
468	14250	350371
469	14291	350591
470	14326	350687
471	14359	350723
472	14393	350777
473	14428	350847
474	14460	350865
475	14493	350897
476	14528	350959
477	14563	351045
478	14595	351064
479	14628	351082
480	14661	351112
481	14695	351157
482	14728	351189
483	14761	351225
484	14794	351249
485	14828	351305
486	14861	351329
487	14894	351372
488	14927	351395
489	14961	351432
490	14993	351455
491	15027	351500
492	15062	351579
493	15097	351650
494	15131	351694
495	15165	351739
496	15197	351746
497	15231	351802
498	15263	351802
499	15296	351821
500	15332	351916
501	15367	351986
502	15401	352021
503	15435	352066
504	15468	352107
505	15501	352114
506	15534	352135
507	15568	352198
508	15602	352234
509	15635	352250
510	15667	352265
511	15701	352292
512	15733	352302
513	15767	352345
514	15801	352379
515	15835	352422
516	15869	352463
517	15901	352482
518	15934	352489
519	15968	352526
520	16013	352813
521	16047	352861
522	16081	352891
523	16115	352943
524	16152	353039
525	16186	353091
526	16222	353179
527	16257	353228
528	16292	353289
529	16327	353351
530	16365	353467
531	16399	353520
532	16433	353546
533	16467	353596
534	16502	353640
535	16536	353683
536	16572	353753
537	16606	353795
538	16640	353827
539	16673	353841
540	16705	353848
541	16739	353876
542	16773	353905
543	16807	353943
544	16844	354046
545	16881	354143
546	16914	354162
547	16948	354192
548	16981	354206
549	17014	354218
550	17048	354253
551	17082	354282
552	17115	354296
553	17150	354347
554	17185	354397
555	17219	354432
556	17253	354451
557	17287	354490
558	17323	354551
559	17357	354591
560	17391	354610
561	17424	354634
562	17460	354694
563	17493	354716
564	17516	354514
565	17548	354510
566	17583	354553
567	17618	354600
568	17652	354630
569	17686	354667
570	17720	354689
571	17753	354697
572	17787	354718
573	17821	354753
574	17854	354756
575	17887	354770
576	17921	354790
577	17953	354785
578	17987	354801
579	18019	354806
580	18053	354830
581	18088	354860
582	18121	354868
583	18154	354886
584	18188	354915
