author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,total_meters,year_of_construction
4.0,4.0,13.0,23.0,5.074000000000001,20.296000000000003,3.62791,1.0,25.37,2026
5.0,3.7,8.0,17.0,5.0,16.0,2.65,1.0,21.0,2016
2.0,3.7,3.0,3.0,4.0,20.0,2.4,1.0,28.7,2017
4.0,3.3,1.0,23.0,5.420000000000001,21.680000000000003,4.74521,1.0,27.1,2027
2.0,3.3,12.0,19.0,3.0,16.0,5.8,1.0,32.0,2023
2.0,2.9,2.0,3.0,2.0,10.0,1.79,1.0,12.0,1937
4.0,4.0,7.0,9.0,4.14,16.56,4.01,1.0,20.7,2028
2.0,3.4,8.0,29.0,3.0,16.0,5.8,1.0,27.5,2025
2.0,4.0,7.0,9.0,3.6,14.4,2.6,1.0,18.0,2022
4.0,4.0,4.0,23.0,5.242000000000001,20.968000000000004,4.32465,1.0,26.21,2026
2.0,3.3,8.0,17.0,4.0,15.0,3.85,1.0,27.4,2015
5.0,4.4,15.0,18.0,0.0,19.7,2.35,1.0,19.7,2011
4.0,3.4,5.0,9.0,5.510000000000001,22.040000000000003,7.96,1.0,27.55,2028
2.0,2.5,13.0,17.0,4.0,16.3,4.59,1.0,25.3,2021
2.0,3.4,1.0,3.0,3.0,15.0,2.65,1.0,19.0,1947
4.0,3.3,16.0,23.0,5.1000000000000005,20.400000000000002,4.5135,1.0,25.5,2027
2.0,3.4,1.0,16.0,3.0,14.4,3.4,1.0,22.4,2019
2.0,4.4,17.0,17.0,3.84,15.36,2.07,1.0,19.2,2013
4.0,3.4,6.0,14.0,4.658,18.632,6.97,1.0,23.29,2028
2.0,3.3,2.0,12.0,5.0,13.4,3.99,1.0,27.8,2024
2.0,4.4,2.0,17.0,3.0,11.2,2.0,1.0,19.2,2013
4.0,3.3,11.0,23.0,5.0600000000000005,20.240000000000002,4.554,1.0,25.3,2027
2.0,3.3,17.0,20.0,3.0,17.0,5.1,1.0,29.0,2017
5.0,2.9,8.0,13.0,5.0,18.0,4.5,1.0,25.8,2011
4.0,4.0,9.0,24.0,2.3,11.8,5.95,1.0,27.3,2028
2.0,3.3,19.0,19.0,5.0,17.0,4.79,1.0,30.9,2016
2.0,3.3,2.0,4.0,4.399999999999999,20.0,2.226,1.0,24.4,2024
4.0,3.4,7.0,9.0,5.0,13.3,7.55,1.0,31.71,2028
2.0,2.5,10.0,17.0,6.5,17.5,5.05,1.0,24.0,2024
2.0,3.8,1.0,5.0,2.0,12.0,2.55,1.0,14.0,1960
4.0,3.3,3.0,23.0,5.640000000000001,22.560000000000002,5.076,1.0,28.2,2027
2.0,4.4,6.0,17.0,5.0,13.4,4.25,1.0,23.4,2020
2.0,3.7,4.0,17.0,4.0,10.7,2.4,1.0,19.7,2012
4.0,4.0,9.0,9.0,6.720000000000001,26.880000000000003,7.64,1.0,33.6,2028
2.0,2.9,11.0,25.0,5.0,22.0,6.7,1.0,36.0,2020
2.0,3.7,1.0,3.0,1.0,21.8,2.15,1.0,25.1,2013
4.0,3.4,9.0,14.0,5.0,10.0,7.76,1.0,26.84,2028
2.0,3.8,10.0,20.0,5.0,20.1,7.0,1.0,30.1,2007
2.0,3.7,2.0,3.0,5.0,14.9,2.2,1.0,24.9,2017
4.0,3.9,18.0,24.0,43.2,56.2,16.36,1.0,99.4,2025
2.0,3.4,13.0,17.0,5.0,14.6,6.19,1.0,24.6,2024
2.0,2.9,2.0,3.0,2.0,12.0,2.35,1.0,18.0,1937
4.0,2.9,27.0,30.0,8.5,14.7,6.203,1.0,23.2,2026
2.0,4.0,7.0,25.0,3.5,8.1,5.9,1.0,21.3,2025
2.0,4.4,8.0,18.0,4.0,17.2,2.4,1.0,21.2,2012
4.0,3.4,5.0,9.0,10.0,11.4,9.34,1.0,33.49,2028
2.0,3.7,3.0,3.0,5.0,17.8,2.49,1.0,27.8,2017
2.0,2.9,3.0,17.0,5.0,10.9,2.59,1.0,21.3,2023
4.0,4.0,6.0,29.0,5.1,18.5,9.152941,1.0,32.69,2026
2.0,3.7,10.0,10.0,4.4,33.800000000000004,3.8,1.0,38.2,2017
2.0,3.7,3.0,5.0,3.8000000000000003,15.200000000000001,1.7,1.0,19.0,1975
4.0,2.5,11.0,17.0,5.0,5.5,4.7,1.0,19.9,2026
2.0,4.2,4.0,5.0,3.6200000000000006,14.480000000000002,1.85,1.0,18.1,1970
2.0,4.4,7.0,17.0,3.0,11.5,2.3,1.0,19.5,2011
4.0,4.0,3.0,29.0,6.6,11.2,7.341176,1.0,25.2,2026
2.0,3.7,2.0,10.0,4.4,34.1,3.4,1.0,38.5,2017
2.0,4.4,4.0,17.0,3.0,16.2,2.1,1.0,19.2,2014
4.0,2.5,6.0,8.0,5.0,9.9,5.83,1.0,24.2,2026
2.0,4.2,6.0,9.0,5.0,18.9,4.5,1.0,23.9,2014
2.0,4.4,4.0,17.0,3.7,9.4,2.2,1.0,20.2,2013
4.0,3.9,11.0,16.0,5.1,14.3,6.85,1.0,28.17,2028
2.0,2.5,6.0,10.0,10.0,22.5,3.45,1.0,32.5,2024
2.0,4.0,3.0,6.0,3.7200000000000006,14.880000000000003,4.25,1.0,18.6,2024
4.0,3.4,8.0,29.0,5.48,21.92,5.8,1.0,27.4,2025
2.0,3.7,3.0,17.0,5.0,14.0,3.5,1.0,26.0,2025
2.0,4.4,15.0,19.0,6.100000000000001,12.0,2.15,1.0,18.1,2013
4.0,3.9,10.0,24.0,5.1,14.1,6.275,1.0,26.06,2028
2.0,3.7,1.0,3.0,4.0,18.0,2.55,1.0,27.4,2017
2.0,3.7,1.0,17.0,5.0,13.0,2.35,1.0,30.8,2014
4.0,2.9,7.0,14.0,11.490000000000002,16.7,6.852,1.0,28.19,2026
2.0,2.9,7.0,18.0,1.8,10.4,2.8,1.0,18.2,2024
2.0,2.9,6.0,16.0,5.0600000000000005,20.240000000000002,3.1,1.0,25.3,2024
4.0,3.9,13.0,24.0,5.1,14.9,6.6,1.0,31.67,2028
2.0,3.4,11.0,16.0,7.0,20.0,4.25,1.0,30.7,2015
2.0,3.7,12.0,18.0,5.5200000000000005,22.080000000000002,2.85,1.0,27.6,2013
4.0,3.4,8.0,9.0,10.0,11.4,8.89,1.0,30.55,2028
2.0,3.7,1.0,3.0,4.0,14.5,2.4,1.0,23.5,2017
2.0,4.4,2.0,17.0,8.600000000000001,10.5,2.0,1.0,19.1,2013
4.0,4.0,4.0,29.0,5.6,16.6,11.435294,1.0,34.9,2026
2.0,4.4,1.0,17.0,11.2,9.0,3.15,1.0,20.2,2013
