author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
4.0,2.9,20.0,10.839999999999998,6703.0,1.0,25.74,2026
2.0,4.0,7.0,10.0,4350.0,1.0,23.0,2021
2.0,4.0,17.0,10.0,4100.0,1.0,25.37,2025
4.0,2.9,8.0,5.0,5350.0,1.0,26.0,2027
2.0,2.9,2.0,5.6000000000000005,7300.0,1.0,28.0,2026
2.0,3.7,2.0,10.0,4150.0,1.0,40.0,2017
4.0,4.0,22.0,7.3,7941.0,1.0,27.47,2026
2.0,2.5,12.0,6.0,7500.0,1.0,30.48,2024
2.0,2.9,17.0,4.0,4300.0,1.0,30.0,2017
4.0,3.7,18.0,3.4,5270.0,1.0,27.27,2026
2.0,3.7,2.0,9.0,4700.0,1.0,36.0,2013
4.0,3.7,12.0,3.4,5400.0,1.0,27.73,2026
2.0,2.5,6.0,8.5,4500.0,1.0,58.5,2024
2.0,2.5,14.0,10.0,4900.0,1.0,21.1,2024
4.0,3.9,5.0,41.099999999999994,14670.0,1.0,83.1,2025
5.0,3.4,26.0,3.6,6000.0,1.0,27.0,2019
4.0,3.4,3.0,5.5,5500.0,1.0,27.5,2025
4.0,4.0,16.0,5.1,9117.0,1.0,29.98,2026
5.0,3.3,4.0,3.5200000000000005,2359.0,1.0,17.6,2017
4.0,4.0,20.0,7.8,9900.0,1.0,33.9,2026
2.0,2.5,5.0,6.0,3650.0,1.0,36.7,2020
2.0,4.4,2.0,5.0,2400.0,1.0,18.4,2013
4.0,3.8,11.0,2.0,5640.0,1.0,20.97,2026
2.0,4.0,13.0,5.0,6500.0,1.0,30.0,2022
2.0,2.9,6.0,5.0,2750.0,1.0,26.8,2015
4.0,3.9,24.0,12.699999999999996,8350.0,1.0,34.3,2025
2.0,4.0,20.0,4.0,5200.0,1.0,26.9,2023
2.0,3.3,2.0,5.0,2845.0,1.0,24.3,1968
4.0,3.7,13.0,3.4,5370.0,1.0,27.73,2026
2.0,3.9,22.0,4.0,4980.0,1.0,23.7,2019
