accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Брусника;developer;sale;Октябрьский;9;23;с109;Новосибирск;7090000;мкр. Европейский Берег;1;Большевистская ;35.74;Спортивная;https://novosibirsk.cian.ru/sale/flat/314646720/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Новактив;real_estate_agent;sale;Ленинский;11;25;12;Новосибирск;6700000;Город у воды Ясный Берег;1; Ясный Берег;36.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323797893/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;МакроМир;real_estate_agent;sale;Первомайский;2;17;22/5;Новосибирск;2000000;Берёзовое;1; Твардовского;19.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326031896/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Центральный;29;30;;Новосибирск;9960000;Мылзавод ЖК;1;;45.1;Гагаринская;https://novosibirsk.cian.ru/sale/flat/310780999/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Города Новосибирск;real_estate_agent;sale;Дзержинский;13;17;195/5;Новосибирск;6190000;Галактика;1; Николая Островского;24.6;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326719005/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПЛАНЕТА на Маркса;real_estate_agent;sale;Центральный;1;5;17А;Новосибирск;2550000;;1; Гоголя;14.0;Сибирская;https://novosibirsk.cian.ru/sale/flat/324783650/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;VIRA;developer;sale;Кировский;2;24;;Новосибирск;4250000;Сподвижники ЖК;1;;27.6;Студенческая;https://novosibirsk.cian.ru/sale/flat/326182990/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ОЛИМП;real_estate_agent;sale;Первомайский;17;17;22/3;Новосибирск;2070000;Берёзовое;1; Твардовского;19.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/320808046/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Октябрьский;11;17;;Новосибирск;4700000;мкр. Европейский Берег;1;;19.9;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/327078239/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;METRAGE;real_estate_agent;sale;Центральный;10;20;40/1;Новосибирск;7000000;Дом у метро Покрышкина;1; Гоголя;30.1;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/324631787/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;СМСС;developer;sale;Дзержинский;3;29;21;Новосибирск;5500000;Менделеев;1;Закаменский мкр;27.5;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326667141/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;TS Group;real_estate_agent;sale;Заельцовский;15;24;;Новосибирск;5480000;Невский ЖК;1;;28.43;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321544305/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;МакроМир;real_estate_agent;sale;Кировский;10;10;16;Новосибирск;3800000;Просторный;1; Николая Сотникова;38.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/326307754/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;СТАН;real_estate_agent;sale;Октябрьский;9;10;10;Новосибирск;2200000;Плющихинский;1; Плющихинская;34.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/319124056/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ГК Нарратив;developer;sale;Калининский;12;21;;Новосибирск;3881940;ДНК ЖК;1;Юбилейный мкр;24.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326938665/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Центр Недвижимости;real_estate_agent;sale;Советский;4;5;5/1;Новосибирск;1850000;;1; Российская;18.1;;https://novosibirsk.cian.ru/sale/flat/326678150/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Инна Владимировна;realtor;sale;Кировский;1;3;5;Новосибирск;2150000;;1;Рубежная ;25.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320190349/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
