accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;СМСС;developer;sale;Дзержинский;19;22;;Новосибирск;20456800;Паскаль;4; 5-я Кирпичная Горка;112.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989278/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Все Новые Дома;real_estate_agent;sale;Центральный;4;7;23;Новосибирск;11990000;;4;Серебренниковская ;115.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/325611622/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;PRO Недвижимость;real_estate_agent;sale;Центральный;7;9;4;Новосибирск;19499000;;4; Крылова;138.0;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/326417574/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Брусника;developer;sale;Дзержинский;2;14;;Новосибирск;30490000;Город-на-озере ЖК;4;;173.63;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325308730/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Эксперт Дом;real_estate_agent;sale;Дзержинский;4;9;11;Новосибирск;8500000;;4; Адриена Лежена;72.9;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324330871/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Аркада;real_estate_agent;sale;Центральный;1;3;109;Новосибирск;8900000;;4; Чаплыгина;77.8;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/311859300/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Брусника;developer;sale;Заельцовский;15;15;90;Новосибирск;18100000;Авиатор;4; Аэропорт;120.08;Заельцовская;https://novosibirsk.cian.ru/sale/flat/314858635/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;26;29;77;Новосибирск;32000000;Чикаго;4;Московская ;128.72;Октябрьская;https://novosibirsk.cian.ru/sale/flat/318545609/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;Rialtor Group;real_estate_agent;sale;Ленинский;6;9;152;Новосибирск;5490000;;4;Троллейная ;76.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320572630/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
flat;СМСС;developer;sale;Октябрьский;23;23;;Новосибирск;18743600;Паскаль;4;Закаменский мкр;99.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325989654/?mlSearchSessionGuid=812e6814696ec67ad315f9a1ae5acbf0
