accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Талан;developer;sale;Калининский;5;11;148;Новосибирск;3919950;Природные кварталы Сибирия;1; Богдана Хмельницкого;26.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326117121/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ID 95023783;unknown;sale;Кировский;12;24;143/2;Новосибирск;6700000;;1; Немировича-Данченко;25.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/320900037/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ИП Павлова И. В.;real_estate_agent;sale;Заельцовский;17;24;109;Новосибирск;7500000;Бирюзовая Жемчужина;1;Сухарная ;36.9;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/322508382/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;БЭЛ Девелопмент;developer;sale;Центральный;7;14;54;Новосибирск;25000000;Комплекс клубных резиденций Маяковский;1; Чаплыгина;45.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/317873576/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ИП Павлова И. В.;real_estate_agent;sale;Калининский;7;18;1;Новосибирск;10000000;Калининский-3;1;Армавирская ;47.5;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/316473661/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Октябрьский;6;10;144/2;Новосибирск;3200000;Плющихинский;1; В. Высоцкого;48.9;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/320450320/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ВОЛНА development;developer;sale;Заельцовский;8;30;101/1;Новосибирск;6750000;Апарт-отель GAGARIN CITY;1;Красный проспект;23.69;Заельцовская;https://novosibirsk.cian.ru/sale/flat/306495406/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;METRAGE;real_estate_agent;sale;Октябрьский;8;9;116;Новосибирск;4200000;;1;Выборная ;30.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/325614055/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ID 19474838;homeowner;sale;Советский;2;6;160;Новосибирск;3500000;;1; Ивлева;43.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/326988682/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Брусника;developer;sale;Заельцовский;5;12;1/4;Новосибирск;6930000;Лебедевский;1;Лебедевский кв-л;39.3;Заельцовская;https://novosibirsk.cian.ru/sale/flat/327004854/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Родники;real_estate_agent;sale;Калининский;4;18;19/1;Новосибирск;4750000;Мкрн. Родники;1; Краузе;35.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326910250/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Октябрьский;3;9;117;Новосибирск;3700000;;1;Выборная ;27.8;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326014045/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Новый Мир;developer;sale;Заельцовский;13;15;220;Новосибирск;10500000;Нобель;1;Красный проспект;40.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324818118/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Эксперт Дом;real_estate_agent;sale;Октябрьский;5;10;9;Новосибирск;4800000;Плющихинский;1; Плющихинская;48.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324796317/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Юнион Трейд;real_estate_agent;sale;Октябрьский;1;10;41;Новосибирск;3900000;Плющихинский;1; Татьяны Снежиной;42.3;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326063178/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Брусника;developer;sale;Дзержинский;8;14;;Новосибирск;8970000;Город-на-озере ЖК;1;;43.23;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325276335/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Центральный;5;5;47;Новосибирск;4900000;;1; Крылова;29.0;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/325854319/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;9;13;75;Новосибирск;3960000;NOVA-апарт;1;Автогенная ;28.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/321540591/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Астон;developer;sale;Кировский;8;26;6;Новосибирск;7210000;Астон. Шесть звёзд;1; Аникина;48.24;Студенческая;https://novosibirsk.cian.ru/sale/flat/326513937/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;16;24;14;Новосибирск;4990000;Freedom;1;Большевистская ;21.01;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326344669/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;METRAGE;real_estate_agent;sale;Калининский;9;9;2;Новосибирск;4100000;;1; Столетова;38.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326732425/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;VIRA;developer;sale;Кировский;2;24;;Новосибирск;5150000;Сподвижники ЖК;1;;33.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/326182992/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;12;25;9;Новосибирск;4999000;Черемушки на Бугринке;1; Сержанта Коротаева;37.7;Студенческая;https://novosibirsk.cian.ru/sale/flat/326227868/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Владис Центральное;real_estate_agent;sale;Ленинский;2;10;3/1;Новосибирск;4250000;;1;Троллейная ;37.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326540043/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирские Жилые Кварталы;developer;sale;Заельцовский;1;11;;Новосибирск;17444000;Флора и Фауна ЖК;1;;51.2;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/317441098/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Ленинский;8;9;18;Новосибирск;5100000;;1; Романтиков;48.8;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/321215870/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;2ПН;real_estate_agent;sale;Октябрьский;10;10;2;Новосибирск;4400000;Плющихинский;1; Плющихинская;48.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/323064318/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирь Девелопмент;developer;sale;Заельцовский;19;23;248/1;Новосибирск;10680120;Заельцовский NEW;1; Дуси Ковальчук;58.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323228300/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Брусника Обмен;real_estate_agent;sale;Октябрьский;3;10;62;Новосибирск;4700000;Плющихинский;1; В. Высоцкого;53.6;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324265850/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Брусника;developer;sale;Заельцовский;1;14;90;Новосибирск;12000000;Авиатор;1; Аэропорт;73.09;Заельцовская;https://novosibirsk.cian.ru/sale/flat/310160752/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ID 139309256;homeowner;sale;Ленинский;2;5;8;Новосибирск;4400000;;1;проспект Карла Маркса;31.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/327017792/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;SG DEVELOPMENT;developer;sale;Кировский;2;23;145/5;Новосибирск;5020000;Кварталы Немировича;1; Немировича-Данченко;28.4;Студенческая;https://novosibirsk.cian.ru/sale/flat/326423994/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ID 89490148;homeowner;sale;Октябрьский;7;10;171/7;Новосибирск;2800000;Плющихинский;1; В. Высоцкого;48.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/323082793/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Брусника;developer;sale;Центральный;29;30;;Новосибирск;14590000;Мылзавод ЖК;1;;82.89;Сибирская;https://novosibirsk.cian.ru/sale/flat/326489800/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Заельцовский;15;25;42/1;Новосибирск;9000000;Дом на Дачной;1;Дачная ;46.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/315037638/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Созвездие Весов;real_estate_agent;sale;Советский;7;9;5;Новосибирск;1600000;;1; Русская;10.4;;https://novosibirsk.cian.ru/sale/flat/326975951/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирь Девелопмент;developer;sale;Заельцовский;15;25;2;Новосибирск;9357200;Тайм Сквер;1;Дачная ;40.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323226619/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Новый Мир;developer;sale;Железнодорожный;23;24;6/1;Новосибирск;10590000;Беринг;1; Прибрежная;42.15;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/324817892/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Калининское;real_estate_agent;sale;Калининский;7;13;908;Новосибирск;5200000;Династия. Квартал поколений;1; Декоративный Питомник;36.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324345691/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;МакроМир;real_estate_agent;sale;Дзержинский;3;9;33;Новосибирск;3165999;;1;Гусинобродское шоссе;36.8;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326354933/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Два Ключа Девелопмент;real_estate_agent;sale;Советский;7;10;;Новосибирск;4350600;Роза ветров;1;;24.17;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/324151963/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;ID 95087260;realtor;sale;Дзержинский;13;16;29;Новосибирск;6640000;;1; Адриена Лежена;37.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325650787/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Калининский;2;6;36;Новосибирск;3100000;;1;Народная ;28.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326761149/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;VIRA;developer;sale;Заельцовский;17;23;1;Новосибирск;7700000;LUNA;1; Ляпидевского;42.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325392922/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;СМСС;developer;sale;Заельцовский;2;25;52/2;Новосибирск;5900000;Чкалов;1;Светлановская ;37.1;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325989132/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Страна Девелопмент;developer;sale;Октябрьский;2;9;с23;Новосибирск;10647059;Страна.Тополёвая;1;Тополевая ;45.98;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325663938/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;СТАН;real_estate_agent;sale;Ленинский;2;2;3;Новосибирск;2300000;;1;переулок 3-й Забалуева;30.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322342371/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирь Девелопмент;developer;sale;Калининский;1;9;3;Новосибирск;5102550;Цивилизация;1; Василия Клевцова;34.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326472650/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;1;25;11;Новосибирск;6990000;Закаменский-11;1;Закаменский мкр;48.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325901110/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Калининский;1;2;33А;Новосибирск;2400000;;1; Чекалина;31.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/322342748/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;2;3;3/1;Новосибирск;2900000;;1;Воскресная ;31.2;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/324526568/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;METRAGE;real_estate_agent;sale;Ленинский;3;17;9;Новосибирск;2900000;Лето;1; Ивана Севастьянова;25.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323885202/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;TS Group;real_estate_agent;sale;Заельцовский;19;24;;Новосибирск;7610000;Невский ЖК;1;;39.69;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321544331/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;;4;5;69;Новосибирск;2980000;;1; Лейтенанта Амосова;30.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321965471/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;1;9;267;Новосибирск;3000000;;1; Зорге;33.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325971491/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Заельцовский;1;5;117/1;Новосибирск;3085000;;1; Жуковского;22.1;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321683864/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Rialtor Group;real_estate_agent;sale;Ленинский;3;5;50/2;Новосибирск;3000000;;1;Станционная ;30.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/292170464/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирь Девелопмент;developer;sale;Заельцовский;20;23;248/1;Новосибирск;9022464;Заельцовский NEW;1; Дуси Ковальчук;40.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323228316/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Заельцовский;7;9;106;Новосибирск;3330000;;1;Кубовая ;28.5;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321333757/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Rialtor Group;real_estate_agent;sale;Ленинский;1;5;54;Новосибирск;3100000;;1;Степная ;28.3;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/321818354/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Сибирь Девелопмент;developer;sale;Калининский;5;9;3;Новосибирск;6399231;Цивилизация;1; Василия Клевцова;43.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323228359/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Всем Квартиру;real_estate_agent;sale;Кировский;3;5;5;Новосибирск;3350000;;1; Палласа;29.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322746463/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;SIBWILL;real_estate_agent;sale;Ленинский;2;9;26;Новосибирск;4280000;Дивногорский;1; Романтиков;36.88;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322212992/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;6;17;10;Новосибирск;3480000;Матрешкин двор;1; Дмитрия Шмонина;32.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/324521643/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;3;3;39/1;Новосибирск;3200000;На Рубежной;1;Рубежная ;39.5;Студенческая;https://novosibirsk.cian.ru/sale/flat/327019942/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Астон;developer;sale;Кировский;21;26;6к11;Новосибирск;7470000;Астон. Шесть звёзд;1; Аникина;48.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/324569450/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Rialtor Group;real_estate_agent;sale;Кировский;1;10;2;Новосибирск;3470000;Матрешкин двор;1; Дмитрия Шмонина;48.1;Студенческая;https://novosibirsk.cian.ru/sale/flat/325653350/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Дзержинский;1;2;38;Новосибирск;3200000;;1;Приисковая ;32.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325451032/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Астон;developer;sale;Кировский;10;26;6;Новосибирск;7160000;Астон. Шесть звёзд;1; Аникина;46.48;Студенческая;https://novosibirsk.cian.ru/sale/flat/326112937/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Ленинский;1;6;3/2;Новосибирск;3500000;;1;Хилокская ;39.4;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326576422/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Заельцовский;3;5;117/1;Новосибирск;3250000;;1; Жуковского;24.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/322132288/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Октябрьский;11;18;29/2;Новосибирск;3580000;Плющихинский;1; Татьяны Снежиной;40.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/323105072/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Республика;real_estate_agent;sale;Кировский;4;9;124;Новосибирск;3300000;;1; Немировича-Данченко;24.6;Студенческая;https://novosibirsk.cian.ru/sale/flat/320650552/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Талан;developer;sale;Калининский;10;11;148;Новосибирск;5064594;Природные кварталы Сибирия;1; Богдана Хмельницкого;37.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326448463/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Заельцовский;1;2;36/1;Новосибирск;3590000;;1; 2-я Шевцовой;31.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323828487/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat;Этажи;real_estate_agent;sale;Кировский;8;10;99;Новосибирск;3300000;Матрешкин двор;1; Петухова;33.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/326779765/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
