accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Владис Центральное;real_estate_agent;sale;Октябрьский;17;17;91/3;Новосибирск;5270000;;2;Выборная ;47.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/325969144/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Планета;real_estate_agent;sale;Центральный;4;4;11;Новосибирск;5250000;;2;Каинская ;41.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/322202269/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Rialtor Group;real_estate_agent;sale;Дзержинский;9;9;11;Новосибирск;5250000;;2; Адриена Лежена;42.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326928576/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;METRAGE;real_estate_agent;sale;Октябрьский;8;10;36;Новосибирск;5250000;Плющихинский;2; В. Высоцкого;50.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326258844/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Корона;real_estate_agent;sale;Калининский;9;9;85;Новосибирск;5250000;;2; Фадеева;52.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326865249/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Столица Сибири;real_estate_agent;sale;Калининский;9;10;4/1;Новосибирск;5299999;;2; Свечникова;56.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325459284/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;НСК-top;real_estate_agent;sale;Заельцовский;3;5;113;Новосибирск;5290000;;2; Кропоткина;44.6;Гагаринская;https://novosibirsk.cian.ru/sale/flat/311264741/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;МакроМир;real_estate_agent;sale;Ленинский;8;9;48;Новосибирск;5250000;;2; Котовского;45.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323395992/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Елена Космачева;realtor;sale;Октябрьский;5;12;19/1;Новосибирск;5250000;Плющихинский;2; Татьяны Снежиной;57.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325699753/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Ленинский;6;6;28;Новосибирск;5300000;;2;Планировочная ;54.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/325766454/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
