accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Брусника;developer;sale;Заельцовский;3;9;1/4;Новосибирск;9870000;Лебедевский;3;Лебедевский кв-л;81.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145168/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;АльянсРиэлт;real_estate_agent;sale;Калининский;3;9;5;Новосибирск;3300000;;-1; Курчатова;63.1;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325187732/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;Совкомбанк;real_estate_agent;sale;Дзержинский;1;9;25;Новосибирск;4100000;;3; Толбухина;60.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/321855503/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;СМСС;developer;sale;Дзержинский;19;22;;Новосибирск;16810300;Паскаль;3; 5-я Кирпичная Горка;87.1;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989244/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;METRAGE;real_estate_agent;sale;Центральный;2;9;11;Новосибирск;9700000;;3; Гоголя;53.8;Сибирская;https://novosibirsk.cian.ru/sale/flat/324310670/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;СФЕРА-НСК;real_estate_agent;sale;Октябрьский;4;10;1;Новосибирск;5650000;Плющихинский;3; Плющихинская;87.39;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324072690/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;СМСС;developer;sale;Заельцовский;5;28;107/2;Новосибирск;13253451;Бирюзовая жемчужина-4;3;Сухарная ;75.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/325987583/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;Дмитрий Архипов;realtor;sale;Заельцовский;4;10;95;Новосибирск;25990000;Бульварный переулок;3; Тимирязева;99.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323875357/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;1Е;real_estate_agent;sale;Октябрьский;4;5;321;Новосибирск;5700000;;3; Кирова;59.9;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/319040325/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;СМСС;developer;sale;Дзержинский;1;22;;Новосибирск;13435500;Паскаль;3; 5-я Кирпичная Горка;68.9;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989205/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;Этажи;real_estate_agent;sale;Ленинский;1;9;115;Новосибирск;5200000;;3;Широкая ;60.8;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/319342409/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
flat;СТАН;real_estate_agent;sale;Октябрьский;2;10;171/1;Новосибирск;2800000;Плющихинский;3; В. Высоцкого;59.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/322176346/?mlSearchSessionGuid=84e93ee834a1f736cbb021a856474794
