accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;ИП Павлова И. В.;real_estate_agent;sale;Заельцовский;9;29;105/1;Новосибирск;12000000;Бирюзовая жемчужина-2;2;Сухарная ;59.78;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/319358092/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Дзержинский;7;9;;Новосибирск;7550000;Город-на-озере ЖК;1;;31.71;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/324800935/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ИП Павлова И. В.;real_estate_agent;sale;Заельцовский;9;29;105/1;Новосибирск;12000000;Бирюзовая жемчужина-2;2;Сухарная ;59.78;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/319372678/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Дзержинский;1;16;19;Новосибирск;3400000;;-1; Авиастроителей;22.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/321932021/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Дзержинский;6;22;;Новосибирск;13868800;Паскаль;2; 5-я Кирпичная Горка;70.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989219/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Центральный;2;9;11;Новосибирск;9700000;;3; Гоголя;53.8;Сибирская;https://novosibirsk.cian.ru/sale/flat/324310670/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ID 19474838;homeowner;sale;Советский;2;6;160;Новосибирск;3500000;;1; Ивлева;43.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/326988682/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;7;9;1/4;Новосибирск;4010000;Лебедевский;1;Лебедевский кв-л;20.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324678918/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Октябрьский;8;9;116;Новосибирск;4200000;;1;Выборная ;30.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/325614055/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Октябрьский;3;9;117;Новосибирск;3700000;;1;Выборная ;27.8;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326014045/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Дзержинский;2;22;;Новосибирск;11398000;Паскаль;2; 5-я Кирпичная Горка;55.6;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989161/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Родники;real_estate_agent;sale;Калининский;4;18;19/1;Новосибирск;4750000;Мкрн. Родники;1; Краузе;35.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326910250/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Кировский;14;17;15;Новосибирск;3750000;;2; Виктора Уса;42.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/319842651/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Заельцовский;18;28;107/2;Новосибирск;10859027;Бирюзовая жемчужина-4;2;Сухарная ;61.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/325987524/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Эксперт Дом;real_estate_agent;sale;Дзержинский;4;9;11;Новосибирск;8500000;;4; Адриена Лежена;72.9;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324330871/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Открытый Город;real_estate_agent;sale;Калининский;8;17;66/2;Новосибирск;3850000;На Фадеева;1; Фадеева;27.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324332974/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;4;9;1/4;Новосибирск;6730000;Лебедевский;1;Лебедевский кв-л;42.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326594926/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Дом Профи;real_estate_agent;sale;Советский;3;5;8;Новосибирск;4290000;;2; Динамовцев;44.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/325928490/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Юнион Трейд;real_estate_agent;sale;Октябрьский;1;10;41;Новосибирск;3900000;Плющихинский;1; Татьяны Снежиной;42.3;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326063178/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Заельцовский;18;23;46/1;Новосибирск;4822640;Апартаменты VOROSHILOV;-1;Светлановская ;26.21;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326269736/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Ленинский;1;9;115;Новосибирск;5200000;;3;Широкая ;60.8;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/319342409/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Калининский;2;12;12;Новосибирск;3990000;Дежнёв;1; Имени генерал-майора А.Н. Рожкина;27.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326377626/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Дзержинский;9;14;;Новосибирск;7760000;Город-на-озере ЖК;1;;26.84;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/324800937/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;2;4;2;Новосибирск;3990000;;2; Ключ-Камышенское плато;46.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/319004680/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;9;13;75;Новосибирск;3960000;NOVA-апарт;1;Автогенная ;28.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/321540591/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;3;9;1/4;Новосибирск;9870000;Лебедевский;3;Лебедевский кв-л;81.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145168/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Дмитрий Архипов;realtor;sale;Заельцовский;4;10;95;Новосибирск;25990000;Бульварный переулок;3; Тимирязева;99.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323875357/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;PRO Недвижимость;real_estate_agent;sale;Дзержинский;5;5;41/1;Новосибирск;4000000;;2; Толбухина;43.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/320172241/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Заельцовский;5;28;107/2;Новосибирск;13253451;Бирюзовая жемчужина-4;3;Сухарная ;75.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/325987583/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Эксперт Дом;real_estate_agent;sale;Октябрьский;5;10;9;Новосибирск;4800000;Плющихинский;1; Плющихинская;48.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324796317/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Калининский;9;9;2;Новосибирск;4100000;;1; Столетова;38.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326732425/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;9;9;90;Новосибирск;9850000;Авиатор;2; Аэропорт;58.36;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325958743/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Дом Профи;real_estate_agent;sale;Заельцовский;8;9;222/1;Новосибирск;19800000;Красный проспект;3;Красный проспект;57.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/318272983/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Советский;8;9;11;Новосибирск;4200000;;1; Русская;33.7;;https://novosibirsk.cian.ru/sale/flat/326275673/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;5;12;1/4;Новосибирск;5690000;Лебедевский;1;Лебедевский кв-л;34.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323649115/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Ленинский;23;25;167/3;Новосибирск;9290000;Расцветай на Маркса;2; Немировича-Данченко;40.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/320532337/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Владис Центральное;real_estate_agent;sale;Ленинский;2;10;3/1;Новосибирск;4250000;;1;Троллейная ;37.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326540043/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Заельцовский;6;28;107/2;Новосибирск;8300936;Бирюзовая жемчужина-4;1;Сухарная ;45.7;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/325987494/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Советский;2;6;160;Новосибирск;5000000;;3; Ивлева;78.6;Студенческая;https://novosibirsk.cian.ru/sale/flat/320093470/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Советский;2;5;3;Новосибирск;4300000;;3;Барьерная ;62.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/321774438/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ВОЛНА development;developer;sale;Заельцовский;8;30;101/1;Новосибирск;6750000;Апарт-отель GAGARIN CITY;1;Красный проспект;23.69;Заельцовская;https://novosibirsk.cian.ru/sale/flat/306495406/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;4;25;11;Новосибирск;17450000;Эльбрус;3; Шевченко;107.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/326729360/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Заельцовский;1;2;99/1;Новосибирск;4300000;;3;Кубовая ;60.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/319947748/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;7;9;1/4;Новосибирск;6270000;Лебедевский;1;Лебедевский кв-л;39.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145180/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Флиппинг со вкусом;real_estate_agent;sale;Ленинский;12;17;3/1;Новосибирск;6500000;;2; Невельского;42.4;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/324481868/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Наследие;real_estate_agent;sale;Кировский;5;10;10;Новосибирск;4500000;;2; Герцена;48.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/327018912/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Телецентр 19|56;developer;sale;Ленинский;6;15;19/1;Новосибирск;6290000;1956. Кварталы Телецентра;1; Костычева;30.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325835919/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ИнтерАктив;real_estate_agent;sale;Ленинский;5;5;26;Новосибирск;4550000;;3; Немировича-Данченко;58.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/316367828/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;13;17;12;Новосибирск;4590000;Закаменский-12;1;Закаменский мкр;25.3;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326926570/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Октябрьский;11;17;;Новосибирск;4700000;мкр. Европейский Берег;1;;19.9;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/327078239/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Калининский;17;20;1/3;Новосибирск;5100000;Олеко Дундича;1; Олеко Дундича;29.0;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325247720/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Этажи;real_estate_agent;sale;Калининский;5;5;15;Новосибирск;4600000;;3; Макаренко;57.5;Заельцовская;https://novosibirsk.cian.ru/sale/flat/316906128/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;9;9;1/4;Новосибирск;7640000;Лебедевский;1;Лебедевский кв-л;33.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145186/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Калининский;5;5;41;Новосибирск;4990000;;2;Танковая ;42.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321680952/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Забота;real_estate_agent;sale;Советский;6;9;11;Новосибирск;4650000;;1; Русская;37.0;;https://novosibirsk.cian.ru/sale/flat/319155723/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Калининский;21;23;;Новосибирск;7845480;Калининский квартал ЖК;2;;45.6;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/325988545/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Заельцовский;12;17;49/1;Новосибирск;5585000;Нормандия-Неман;1; Аэропорт;37.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326655427/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;5;11;75;Новосибирск;4700000;NOVA-апарт;1;Автогенная ;37.3;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/324524763/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Страна Девелопмент;developer;sale;Октябрьский;5;9;с23;Новосибирск;10929412;Страна.Тополёвая;1;Тополевая ;43.37;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325663945/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Родники;real_estate_agent;sale;Калининский;3;11;7/1;Новосибирск;8200000;Мкрн. Родники;3; Гребенщикова;73.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326012761/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника Обмен;real_estate_agent;sale;Октябрьский;3;10;62;Новосибирск;4700000;Плющихинский;1; В. Высоцкого;53.6;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324265850/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;4;9;1/4;Новосибирск;10350000;Лебедевский;3;Лебедевский кв-л;90.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145217/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Флиппинг со вкусом;real_estate_agent;sale;Заельцовский;18;24;15;Новосибирск;12400000;на Галущака;3; Галущака;55.0;Гагаринская;https://novosibirsk.cian.ru/sale/flat/326579911/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Калининский;19;19;1;Новосибирск;4790000;Мкрн. Родники;1; Гребенщикова;30.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323710692/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Калининский;13;23;;Новосибирск;6459200;Калининский квартал ЖК;1;;36.7;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/325987987/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Эксперт Дом;real_estate_agent;sale;Калининский;4;5;33;Новосибирск;5300000;;3; Объединения;58.1;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323586394/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;АльянсРиэлт;real_estate_agent;sale;Октябрьский;3;5;171;Новосибирск;4790000;;-1;Большевистская ;31.0;Спортивная;https://novosibirsk.cian.ru/sale/flat/326686483/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
