accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;СМСС;developer;sale;Октябрьский;22;23;;Новосибирск;20238400;Паскаль;5;Закаменский мкр;111.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325989658/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;ЖИЛФОНД;real_estate_agent;sale;Дзержинский;5;9;9;Новосибирск;9200000;;5; Адриена Лежена;89.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/290600866/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;ID 89451841;unknown;sale;Железнодорожный;10;10;10;Новосибирск;14990000;;5; Революции;100.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/325645108/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Новый Мир;developer;sale;Заельцовский;13;20;;Новосибирск;35500000;Оскар ЖК;5;;166.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324818219/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;РайоныКварталы;real_estate_agent;sale;Ленинский;5;6;42;Новосибирск;17700000;;5;Вертковская ;162.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320545644/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;ЖИЛФОНД;real_estate_agent;sale;Советский;10;11;35;Новосибирск;13350000;;5; Сиреневая;158.6;;https://novosibirsk.cian.ru/sale/flat/315348374/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;SG DEVELOPMENT;developer;sale;Кировский;8;8;143/2;Новосибирск;24010000;Кварталы Немировича;5; Немировича-Данченко;146.4;Студенческая;https://novosibirsk.cian.ru/sale/flat/326424116/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Сфера;real_estate_agent;sale;Октябрьский;1;3;17;Новосибирск;36000000;;5; Шевченко;280.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/322011417/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Rialtor Group;real_estate_agent;sale;Центральный;2;5;56А;Новосибирск;125000000;;5;Красный проспект;442.0;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/298482919/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Брусника;developer;sale;Октябрьский;23;24;21;Новосибирск;155000000;На Декабристов;5; Сакко и Ванцетти;479.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/314115172/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Бизнес Джет;real_estate_agent;sale;Заельцовский;14;14;97;Новосибирск;70000000;Бульварный переулок;5; Тимирязева;200.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324969841/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;1Е;real_estate_agent;sale;Октябрьский;26;26;11;Новосибирск;32500000;Эльбрус;5; Шевченко;300.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/326141424/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Сибирь Девелопмент;developer;sale;Заельцовский;25;25;2;Новосибирск;32902660;Тайм Сквер;5;Дачная ;138.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323226823/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Наталья Ковалева;realtor;sale;Ленинский;7;16;1;Новосибирск;19300000;;5;;145.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/326738863/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Анна Слесарева;realtor;sale;Ленинский;16;19;1/1А;Новосибирск;24950000;;5; Римского-Корсакова;142.9;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326911273/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Сибирские Жилые Кварталы;developer;sale;Заельцовский;8;8;;Новосибирск;100000000;Флора и Фауна ЖК;5;;278.63;Сибирская;https://novosibirsk.cian.ru/sale/flat/323745224/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Александр Чугайнов;realtor;sale;Заельцовский;3;7;153Б;Новосибирск;32500000;;5;Красный проспект;408.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/306257347/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Юнион Трейд;real_estate_agent;sale;Октябрьский;4;4;17;Новосибирск;61000000;;5; Шевченко;519.2;Октябрьская;https://novosibirsk.cian.ru/sale/flat/318544157/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Сибирь Девелопмент;developer;sale;Заельцовский;25;25;2;Новосибирск;50499700;Тайм Сквер;5;Дачная ;227.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323226549/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;БК НЕДВИЖИМОСТЬ;real_estate_agent;sale;Железнодорожный;7;7;6;Новосибирск;69950000;Милк Хаус;5; Урицкого;170.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/322239037/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Города Новосибирск;real_estate_agent;sale;Ленинский;5;6;4б;Новосибирск;14700000;;5; Римского-Корсакова;125.1;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/324153856/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Сибирские Жилые Кварталы;developer;sale;Заельцовский;4;11;22/4;Новосибирск;35200000;Эко-квартал Flora&Fauna;5;Дачное шоссе;154.16;Заельцовская;https://novosibirsk.cian.ru/sale/flat/292742888/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
flat;Этажи;real_estate_agent;sale;Ленинский;14;16;5;Новосибирск;25500000;;5; Дружбы;316.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322944824/?mlSearchSessionGuid=0857b5fde7bec9177f0053b06e176afa
